date,time,account,text
2024-10-08,11:54:48,味噌ラーメン@yuta_mgtorg2024,"プロトタイプ
最近、とりあえず作ってみたら、「意外とこのアイデアいいんじゃない？」ってなった経験があった#mgtorg2024"
2024-10-08,11:55:19,Metallica@dsmpG44yCS3083,#mgtorg2024とりあえずやってみる。それが最もイノベーションを産みやすい。
2024-10-08,11:56:16,noir@hoseinoir,#mgtorg2024トライアンドエラー、できそうでできないなあ
2024-10-08,11:56:25,うちだ@uchi_da0808,#mgtorg2024今後のことを考えると、プロジェクトのメンバーとして仕事できる環境づくりも重要性高そう。
2024-10-08,11:57:15,味噌ラーメン@yuta_mgtorg2024,"マニュアルにない仕事をしてほしい＝失敗してもいい
なんか腑に落ちた気がする💭#mgtorg2024"
2024-10-08,11:57:18,うちだ@uchi_da0808,#mgtorg2024サービスデザインクソおもろいから勉強してみるのおすすめ
2024-10-08,11:57:33,カープ@PgjCrf,"失敗しても自分で価値を生み出す、考えながら行動に移す。
今のうちから練習しとかないとできないな、#mgtorg2024"
2024-10-08,11:57:50,ボウルサラダボウル@SiTiMiY4_ch,#mgtorg2024春の内容めっちゃ出てくる😳
2024-10-08,11:58:19,まる@oDApfas7DPvsAp3,"失敗してはいけない仕事ではなく、新しいことに挑戦する仕事
それが求められてる
挑戦なんだから、失敗しないで進めるのは無理。失敗しながら進んでいく#mgtorg2024"
2024-10-08,12:00:07,Metallica@dsmpG44yCS3083,#mgtorg2024現場に身を置くことも重要なのかも。まぁいろんなことを自分でやるわけだから否が応でも現場に出ることになるけど。
2024-10-08,12:00:16,こんぺい@yu813508346040,"この前知った「羊飼い型リーダーシップ」トップダウンじゃなくて後方からみんなの個性を尊重するリーダーシップ。

羊飼いだと1人が後ろから支えるイメージだけど、みんなでリーダーのようになれるのがベスト？#mgtorg2024x.com/yu813508346040…"
2024-09-24,12:16:00,こんぺい@yu813508346040,"キーワードとして、『羊飼い型リーダーシップ』という単語が出てきた。
バウンダリーレス的なことなのかな？？#mgtorg2024"
2024-10-08,12:00:53,うちだ@uchi_da0808,#mgtorg2024PDCA高速で回せるって点でやっぱりデジタル分野の仕事は「考えながらやる・やりながら考える」と相性抜群そう。
2024-10-08,12:01:10,ペパーミント@If8Rywjdt,ネットワーク型？！#mgtorg2024
2024-10-08,12:01:54,カープ@PgjCrf,大手企業はどうしてもピラミッドだから安定はあるかもだけど、ベンチャーみたいにフラット化されてる企業は成長があるのか#mgtorg2024
2024-10-08,12:01:59,まる@oDApfas7DPvsAp3,"フラット化
▶︎組織内に部や科もありつつ、プロジェクトと混在する

ネットワーク化
▶︎プロジェクトだけの組織#mgtorg2024"
2024-10-08,12:01:59,うちだ@uchi_da0808,#mgtorg2024ネットワーク組織ってコミュニティ型組織みたいなもんか？
2024-10-08,12:02:39,こんぺい@yu813508346040,"会社の中に部や課がなくなるって聞くと、まだ怖！とか思ってしまう
組織に属することに安心感覚えてるーー#mgtorg2024"
2024-10-08,12:03:26,Metallica@dsmpG44yCS3083,#mgtorg2024部/課が無くなっても企業が動くって凄いな。
2024-10-08,12:03:36,うちだ@uchi_da0808,#mgtorg2024めっちゃ楽しそうだなネットワーク型組織
2024-10-08,12:03:55,インドアなアウトドア派@indoornaoutdoor,ネットワーク化はアメーバ型組織に似ているなぁ#mgtorg2024
2024-10-08,12:03:58,ボウルサラダボウル@SiTiMiY4_ch,"#mgtorg2024フラット化ぐらいが丁度いいんじゃないか？会社としては、ネットワーク化がおきるのは少人数な会社な気がする。

→今後会社が会社の壁をなくすのかもしれないけど

研修とか、育つ場ってのはどう保持するんだ？"
